Issue Type,Summary,Description,Priority,Story Points,Epic Name,Epic Link,Labels
Epic,EPIC-01 Platform Enterprise Foundation,"Enterprise security and identity foundation: SSO, SCIM, RBAC, audit, tenant policy",Highest,,Platform Enterprise Foundation,,hubspot-gap;phase-a;priority-p0
Epic,EPIC-02 Service Hub Advanced,"Advanced service operations: omnichannel inbox, SLA, customer portal, survey, routing, analytics",Highest,,Service Hub Advanced,,hubspot-gap;phase-b;priority-p0
Epic,EPIC-03 Sales Hub Advanced,"Advanced sales capabilities: forecasting, playbooks, docs tracking, call intelligence, coaching",High,,Sales Hub Advanced,,hubspot-gap;phase-b;priority-p1
Epic,EPIC-04 Commerce Hub Billing,"Billing and subscription lifecycle management",High,,Commerce Hub Billing,,hubspot-gap;phase-d;priority-p1
Epic,EPIC-05 Marketing Hub Advanced,"Ads/social/attribution/journey analytics/A-B testing",High,,Marketing Hub Advanced,,hubspot-gap;phase-c;priority-p1
Epic,EPIC-06 Content Hub Full,"Blog/content workflows, SEO intelligence, approvals, content performance",Medium,,Content Hub Full,,hubspot-gap;phase-c;priority-p2
Epic,EPIC-07 Operations/Data Hub Full,"Data sync, quality, lineage, field mapping, runtime governance",High,,Operations/Data Hub Full,,hubspot-gap;phase-a;priority-p1
Epic,EPIC-08 AI Breeze Agents v2,"Agent orchestration and domain agents with eval and governance",High,,AI Breeze Agents v2,,hubspot-gap;phase-d;priority-p1
Epic,EPIC-09 Quality Performance Security Hardening,"E2E, security regression, perf budgets, release gates",Highest,,Quality Performance Security Hardening,,hubspot-gap;continuous;priority-p0
Story,PLAT-01 Implement SSO login flow (SAML/OIDC gateway),Admin can enforce SSO-only login and users authenticate via IdP,Highest,8,Platform Enterprise Foundation,EPIC-01 Platform Enterprise Foundation,hubspot-gap;phase-a;priority-p0
Story,PLAT-02 Add SCIM user provisioning sync endpoint,Create update deactivate users from IdP events,High,8,Platform Enterprise Foundation,EPIC-01 Platform Enterprise Foundation,hubspot-gap;phase-a;priority-p1
